Unnamed: 0,Date,Title,Description
10,"May 22, 2020, Friday","Covid-19 crisis: Slippages may jump to Rs 5.5 trillion, says India Ratings",Credit costs could touch Rs 2.7 trillion
46,"May 07, 2020, Thursday",Public sector banks sanctioned Rs 5.66 trn in loans during March-April: FM,"During March-April 2020, PSBs sanctioned loans worth Rs 5.66 lakh cr for more than 41.81 lakh accounts"
95,"April 27, 2020, Monday",YES Bank scam: CBI gets custody of Kapil and Dheeraj Wadhawan till April 29,"The duo was arrested on Sunday from a Mahabaleshwar-based quarantine facility, nearly 50 days after they were booked in the case ..."
125,"April 20, 2020, Monday",Covid-19 impact: RBI increases centre's WMA limit sharply to Rs 2 trillion,Ways and means advances (WMA) are temporary liquidity line given by the central bank to the government to meet short-term ...
130,"April 19, 2020, Sunday","Nabard to review fundings of Regional Rural Banks, co-op banks on April 20",To tap RBI refinance window for funding to RRBs etc
141,"April 17, 2020, Friday",Muthoot Finance to re-open all branches across India from April 20,The branches will function as usual and will adhere to all instructions laid down by the state governments for corporates ...
171,"April 11, 2020, Saturday",NBFCs have to repay debt worth Rs 1.75 trillion by June 2020: CRISIL,Many finance companies are already facing a liquidity challenge after the IL&FS debacle.
189,"April 06, 2020, Monday",Kotak Mahindra Bank deposits grow 20% YoY to Rs 2.59 trillion in Q4,"On a sequential basis, the deposit base has grown 12 per cent over December 2019"
219,"March 30, 2020, Monday",RBI changes SLBC convenors over merger of 10 PSBs into 4 from April 1,The government on March 4 notified the amalgamation scheme as part of its consolidation plan to create bigger and stronger banks ...
260,"March 24, 2020, Tuesday",HDFC Bank to name chief executive Aditya Puri's successor before April,"Puri in an interaction with reporters said: ""… the recommendations are with the search committee and before April, an appropriate ..."
280,"March 20, 2020, Friday",YES Bank crisis: Court sends Rana Kapoor to judicial custody till April 2,The former banker was arrested on March 8 by the ED under the provisions of Prevention of Money Laundering Act (PMLA) and was ...
286,"March 19, 2020, Thursday","YES Bank probe: ED grills Anil Ambani for 9 hrs, calls him again on Mar 30",The agency has also sent a second summons to Essel Group chairman and Rajya Sabha MP Subhash Chandra to appear before it on March ...
480,"March 05, 2020, Thursday",Public sector banks announce share-swap ratios ahead of April 1 merger,Allahabad Bank-Indian Bank deal to be determined
545,"February 23, 2020, Sunday",Mega bank consolidation: Meeting April 1 deadline appears challenging,"Even after Cabinet approval to the proposed mega merger plan, officials said, fixation of share swap ratio, shareholders consent ..."
555,"February 20, 2020, Thursday",HDFC Bank SME loan book doubles to Rs 1.48 trillion by December 2019,"According to the RBI data, the system-wide SME loan book stood at Rs 15.7 trillion as of June 2019, up 10 per cent over the 12 ..."
569,"February 17, 2020, Monday",RBI's maiden long-term repo operation receives Rs 1.94-trillion bids,The allotment was done for all bids on a pro-rata basis
608,"February 09, 2020, Sunday","Importers, exporters to mandatorily declare GSTIN in documents from Feb 15",While importers are paying IGST on imports but not claiming credit for the same. This essentially means that the supply of ...
625,"February 06, 2020, Thursday",Rs 1 trillion repos to help better monetary policy transmission: RBI,The RBI has cumulatively cut the repo rate by 135 basis since February 2019 to a nine-year low of 5.15 per cent
653,"January 29, 2020, Wednesday",Gross premiums of non-life insurers grow 15% to Rs 1.42 trillion,"While the gross premiums underwritten by private non-life insurers grew by 17 per cent to Rs 69,488 crore, that of the ..."
660,"January 28, 2020, Tuesday",Yes Bank sells shares worth Rs 5.7 crore in Reliance Power via open market,"The lender sold the shares at an average price of Rs 1.91 apiece, which took the total deal value to over Rs 5.77 crore."
702,"January 19, 2020, Sunday",$5 trillion economy target needs doubling of banking credit: SBI chairman,"At present, the Indian banking credit outstanding is nearly Rs 99 trillion"
749,"January 07, 2020, Tuesday",Banks staring at 20% more provisioning for Rs 2.2-trillion debt,Bankers said they are looking outside the bankruptcy courts and will be able to resolve a few debts in the power sector before ...
751,"January 07, 2020, Tuesday",RBI's relaxation for banks to lend Rs 3.5 trillion extra set to end,"The headroom will not be available in FY21, unless public sector banks are adequately recapitalised"
758,"January 06, 2020, Monday",Syndicate Bank surpasses Rs 5 trillion business target ahead of schedule,"The bank crossed Rs 5 trillion total business mark at the end of December 31, 2019"
774,"January 04, 2020, Saturday",$5-trillion economy achievable but time frame uncertain: SBI Chairman,"Speaking at an interactive session organsied by FICCI, Rajnish Kumar said private investment was necessary for achieving the ..."
817,"December 29, 2019, Sunday",HFCs' share in realty loans doubles to Rs 2.01 trillion since 2016: RBI,"Over the past four years, total financing to real estate companies nearly doubled to Rs 2.01 trillion, shows the FSR released on ..."
827,"December 28, 2019, Saturday",UCBs to be part of CRILIC reporting framework from December 31,"Currently, the UCBs are not a part of the CRILIC reporting framework. The RBI's move will help strengthen offsite supervision and ..."
916,"December 13, 2019, Friday","FDI at record levels, Rs 4.47 trillion sanctioned to NBFCs, HFCs: CEA","The CEA also pointed out the recent disinvestment decisions regarding PSU majors BPCL, CONCOR and SCI"
994,"December 05, 2019, Thursday",Cooperative banks with assets over Rs 500 cr to be under CRILC: RB,"These measures are expected to strengthen the resilience and sustainability of UCBs and protect the interest of depositors, it ..."
1012,"December 03, 2019, Tuesday",Record Rs 4.9 trillion loans disbursed during Oct-Nov: Sitharaman,Finance Minister Nirmala Sitharaman in September had asked banks to reach out to customers and signal their willingness to lend ...
1031,"November 30, 2019, Saturday",Yes Bank invoked 6.5 mn shares of Reliance Infra between November 25-28,"With this, the holding of Reliance Project Ventures and Management Ltd in Reliance Infra has come down from 30.05 per cent to ..."
1032,"November 30, 2019, Saturday","Banks gave about Rs 72,136 crore to NBFCs from April to October 2019",Banks are supporting finance companies also by buying the high retail loan pools and SME
1039,"November 29, 2019, Friday",India's banks wrote off Rs 2 trillion worth of bad loans in 2018-19,"Even as banks have written off more loans than before, recovery of bad loans has also improved substantially in the past couple ..."
1067,"November 22, 2019, Friday",Yes Bank sells over 1.3 million shares of Reliance Capital via open market,"However, the buyer of the shares could not be ascertained"
1131,"November 12, 2019, Tuesday",Tamilnad Mercantile Bank net grows 141% in April-September to Rs 62.74 cr,"The bank's gross non-performing assets during the first six months of the year stood at Rs 1346.65 crore, or 4.91 per cent of its ..."
1269,"October 22, 2019, Tuesday",Banks to face capital crunch of Rs 3.5 trillion if NBFC mess drags: Fitch,The stress test examines the potential impact on banks of liquidity pressures in the NBFC sector developing into widespread ...
1313,"October 14, 2019, Monday",GNPA for PSBs in agriculture sector crosses Rs 1-trillion mark: RBI data,"Instances and scale of farm loan waivers have seen an unprecedented increase since 2014-15... this surge is driven by state govt, ..."
1330,"October 10, 2019, Thursday","How Amazon, Flipkart and Mukesh Ambani can help save India's banks",Amazon Flipkart claimed record sales during the recently concluded six-day online shopping bonanza
1361,"October 04, 2019, Friday",In talks with investors for equity infusion: Reliance Home Finance,"Reliance Home Finance Ltd (RHFL) on Friday said it is in discussion with several investors for equity infusion, amid tight ..."
1457,"September 20, 2019, Friday",12% annual credit growth needed to reach $5 trillion mark by 2025: SBI MD,"Against bank credit of Rs 98 trn at present, desired level should be Rs 400 trn, says Dinesh Kumar Khara; As per RBI data, Bank ..."
1501,"September 11, 2019, Wednesday","Corporate bond issuances on the upswing, reach Rs 5.45 trillion till August","While liquidity played a role, banks' reluctance to lend due to risk aversion and tightened group borrower exposure limits are ..."
1520,"September 06, 2019, Friday",Amalgamation of 10 public sector banks likely to take place on April 1,"The decision was taken in a meeting of 10 PSBs, who are part of the latest merger process, with finance ministry officials in ..."
1564,"September 01, 2019, Sunday",PSBs consolidation building block for $5 trillion economy: Finance secy,The consolidation will help create strong and globally competitive banks with economies of scale and enable realisation of ...
1599,"August 27, 2019, Tuesday","RBI to move to April-March accounting yr, restrict interim dividend payout","The central board of the RBI, which met on Monday, has accepted this recommendation, according to an official"
1608,"August 27, 2019, Tuesday","After nearly 8 decades, RBI to change its accounting year to April-March","The RBI, which currently follows July-June calendar, usually transfers dividend after closing its accounts in August"
1619,"August 25, 2019, Sunday",Business energy to power India to become $5-trillion economy: RBI Governor,The RBI chief said the slight slowdown in the last quarter was a temporary one and the economy is likely to end the fiscal with ...
1654,"August 18, 2019, Sunday","150,000 bankers to discuss how to make India $5-trillion economy by 2024","To contain high bad loans in the MUDRA scheme, the managers suggested that a national portal be floated to verify the borrower ..."
